item_id,category,part_name,qty,unit,material_spec,dimensions,make_buy,source_or_supplier,search_terms,date_checked,unit_cost_usd,total_cost_usd,substitute_rule,drawing_ref,notes
B-001,Body,Padauk staves,12,each,Padauk or alternate hardwood,"16 in x 3.1 in x 1.0 in rough",make,lumber supplier,"padauk 4/4 or 5/4 lumber blank",,,,"Cherry or hard maple acceptable if K is updated",drawings/body-overview.svg,V1 medium stave shell
B-002,Body,End cap blanks,2,each,Padauk or matching hardwood,"13 in x 13 in x 0.75 in",make,lumber supplier,"padauk panel blank 13 inch square",,,,"Use drumhead hardware instead for Config D",drawings/end-config-options.svg,Sealed configuration baseline
B-003,Body,Acoustic port tube,1,each,Wood or PVC,"3 in OD x 1 in length",make/buy,hardware supplier,"3 inch wood tube pvc pipe offcut",,,,"Only needed for ported variant",drawings/end-config-options.svg,Ported option
B-004,Head,Goatskin rawhide,1,each,Goatskin or calfskin,"16 in or larger round",buy,drum parts supplier,"goatskin drum head 16 inch rawhide",,,,"Synthetic head is alternate",drawings/end-config-options.svg,Optional true duntong end
B-005,Head,Rope tuning kit,1,set,Low-stretch polyester or drum rope,TBD,buy,drum parts supplier,"djembe rope tuning ring 12 inch",,,,"Only needed for goatskin variant",drawings/end-config-options.svg,Includes rings/pullers TBD
B-006,CNC,1/8 in upcut spiral bit,1,each,Carbide router bit,0.125 in cutting diameter,buy,CNC tooling supplier,"1/8 upcut spiral router bit carbide",,,,"Must match CNC collet",drawings/tongue-layout.svg,Tongue slit cutter
B-007,Fixture,V-block cradle,1,each,MDF or plywood fixture stock,"for 12 in OD cylinder",make,shop stock,"MDF plywood V block CNC cradle",,,,"Must include clamps and index marks",cnc/setup-sheet.md,Holds shell during tongue cutting
B-008,Hardware,Rubber feet or cradle stand,4,each,Rubber bumper or hardwood cradle,TBD,buy/make,hardware supplier,"rubber feet bumper instrument stand",,,,"Cradle preferred if cylinder wants to roll",drawings/body-overview.svg,Support for playing
B-009,Consumable,Wood glue,1,bottle,Titebond III or equivalent,TBD,buy,hardware supplier,"water resistant wood glue",,,,"Glue choice affects open time",assembly-manual.md,Stave shell glue-up
B-010,Consumable,Finish and abrasives,1,set,Tung oil or lacquer plus 80-400 grit,TBD,buy,hardware supplier,"tung oil instrument finish lacquer",,,,"Avoid heavy finish on active tongues",assembly-manual.md,Final finishing
